"COD_CEP";"LIB_CEP";"COU_CEP";"DAT_DER_MAJ";"COD_CATCEP";"COD_CEP_P";"INDIC_EXPCEP";"COD_TYPDEST_CEP"
"3001";"ASSYRTIKO B";"";"01/07/2009 11:17:51";"G";"";"O";"CUVE"
"3002";"AIREN B";"1";"19/10/2006 11:38:17";"G";"";"O";"CUVE"
"3003";"RKATSITELI B";"";"01/07/2009 11:17:51";"G";"";"O";"CUVE"
"3004";"CARMINOIR N";"2";"15/11/2005 09:24:33";"G";"";"O";"CUVE"
"3005";"PLANTA FINA DE P.B";"1";"26/06/2002 11:20:57";"G";"";"O";"CUVE"
"3006";"ALVARINHO N";"2";"14/11/2005 14:53:32";"G";"";"O";"CUVE"
"3007";"ARINTO B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3008";"PARELLADA B";"1";"";"G";"";"O";"CUVE"
"3009";"GOUVELO B";"1";"14/11/2005 14:53:32";"G";"";"O";"CUVE"
"3010";"BARBERA N";"2";"10/04/2002";"G";"";"O";"CUVE"
"3011";"BICAL B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3012";"ALFROCHEIRO PRE. T";"2";"26/06/2002 11:20:57";"G";"";"O";"CUVE"
"3013";"FERNAO PIRES B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3014";"CATARRATO LUCIDO B";"";"26/03/2009 16:29:10";"G";"";"";""
"3015";"CASTELAO BRANCO B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3016";"CHARMONT B";"1";"17/11/2005 16:43:21";"G";"";"O";"CUVE"
"3017";"HIBERNAL B";"";"01/07/2009 15:23:22";"G";"";"";"CUVE"
"3018";"BAGA T";"2";"10/04/2002";"G";"";"O";"CUVE"
"3019";"DORNFELDER N";"2";"10/04/2002";"G";"";"O";"CUVE"
"3020";"DORAL B";"1";"17/11/2005 16:43:21";"G";"";"O";"CUVE"
"3021";"CASTELAO T";"2";"01/07/2003 12:01:30";"G";"";"O";"CUVE"
"3022";"DONA MARIA B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3023";"FINDLING B";"1";"17/11/2005 16:43:21";"G";"";"O";"CUVE"
"3024";"LIMNIO N";"2";"14/11/2005 14:53:32";"G";"";"O";"CUVE"
"3025";"ROME N";"";"26/03/2009 16:29:10";"G";"";"";""
"3026";"TOURIGA FRANCA T";"2";"01/07/2003 12:05:34";"G";"";"O";"CUVE"
"3027";"TOURIGA NACIONAL T";"2";"10/04/2002";"G";"";"O";"CUVE"
"3028";"TINTA BARROCA T";"2";"10/04/2002";"G";"";"O";"CUVE"
"3029";"NEBBIOLO N";"2";"10/04/2002";"G";"";"O";"CUVE"
"3030";"PETITE ARVINE B";"1";"10/04/2002";"G";"";"O";"CUVE"
"3031";"JAEN T";"2";"10/04/2002";"G";"";"O";"CUVE"
"3032";"KERNER B";"1";"17/11/2005 16:43:21";"G";"";"O";"CUVE"
"3033";"SCHEUREBE B";"1";"17/11/2005 16:43:21";"G";"";"O";"CUVE"
"3034";"ARVINE B";"";"21/10/2009 13:16:05";"G";"";"O";"CUVE"
"3035";"XARELLO B";"1";"";"G";"";"O";"CUVE"
"3036";"XYNOMAVRO N";"2";"14/11/2005 14:53:32";"G";"";"O";"CUVE"
"3037";"VERDELHO B";"";"21/10/2009 13:19:54";"";"";"";""
"3038";"VERDEJO B";"1";"";"G";"";"O";"CUVE"
"3039";"ALVARINHO B";"1";"13/11/2009 11:05:45";"G";"";"O";"CUVE"
"3040";"ZINFANDEL N PRIMIT";"2";"";"G";"";"O";"CUVE"
"3041";"ZWEIGELTREBE";"";"30/07/2009 14:45:42";"G";"";"";"CUVE"
