CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace Grand Cru,,Engelberg,,Pinot Gris,AOC Alsace Grand Cru Engelberg Pinot Gris,1B008S 3
AOC,,AOC Alsace Grand Cru,,Engelberg,,Muscat,AOC Alsace Grand Cru Engelberg Muscat,1B008S 2
AOC,,AOC Alsace Grand Cru,,Engelberg,,Gewurztraminer,AOC Alsace Grand Cru Engelberg Gewurztraminer,1B008S 1
AOC,,AOC Alsace Grand Cru,,Frankstein,,Riesling,AOC Alsace Grand Cru Frankstein Riesling,1B010S 4
AOC,,AOC Alsace Grand Cru,,Frankstein,,Pinot Gris,AOC Alsace Grand Cru Frankstein Pinot Gris,1B010S 3
AOC,,AOC Alsace Grand Cru,,Frankstein,,Muscat,AOC Alsace Grand Cru Frankstein Muscat,1B010S 2
AOC,,AOC Alsace Grand Cru,,Frankstein,,Gewurztraminer,AOC Alsace Grand Cru Frankstein Gewurztraminer,1B010S 1
AOC,,AOC Alsace Grand Cru,,Froehn,,Riesling,AOC Alsace Grand Cru Froehn Riesling,1B011S 4
AOC,,AOC Alsace Grand Cru,,Froehn,,Pinot Gris,AOC Alsace Grand Cru Froehn Pinot Gris,1B011S 3
AOC,,AOC Alsace Grand Cru,,Froehn,,Muscat,AOC Alsace Grand Cru Froehn Muscat,1B011S 2
AOC,,AOC Alsace Grand Cru,,Froehn,,Gewurztraminer,AOC Alsace Grand Cru Froehn Gewurztraminer,1B011S 1
AOC,,AOC Alsace Grand Cru,,Mambourg,,Riesling,AOC Alsace Grand Cru Mambourg Riesling,1B024S 4
AOC,,AOC Alsace Grand Cru,,Mambourg,,Pinot Gris,AOC Alsace Grand Cru Mambourg Pinot Gris,1B024S 3
AOC,,AOC Alsace Grand Cru,,Mambourg,,Muscat,AOC Alsace Grand Cru Mambourg Muscat,1B024S 2
AOC,,AOC Alsace Grand Cru,,Mambourg,,Gewurztraminer,AOC Alsace Grand Cru Mambourg Gewurztraminer,1B024S 1
AOC,,AOC Alsace Grand Cru,,Mandelberg,,Riesling,AOC Alsace Grand Cru Mandelberg Riesling,1B025S 4
AOC,,AOC Alsace Grand Cru,,Mandelberg,,Pinot Gris,AOC Alsace Grand Cru Mandelberg Pinot Gris,1B025S 3
AOC,,AOC Alsace Grand Cru,,Mandelberg,,Muscat,AOC Alsace Grand Cru Mandelberg Muscat,1B025S 2
AOC,,AOC Alsace Grand Cru,,Mandelberg,,Gewurztraminer,AOC Alsace Grand Cru Mandelberg Gewurztraminer,1B025S 1
AOC,,AOC Alsace Grand Cru,,Marckrain,,Riesling,AOC Alsace Grand Cru Marckrain Riesling,1B026S 4
AOC,,AOC Alsace Grand Cru,,Marckrain,,Pinot Gris,AOC Alsace Grand Cru Marckrain Pinot Gris,1B026S 3
AOC,,AOC Alsace Grand Cru,,Marckrain,,Muscat,AOC Alsace Grand Cru Marckrain Muscat,1B026S 2
AOC,,AOC Alsace Grand Cru,,Marckrain,,Gewurztraminer,AOC Alsace Grand Cru Marckrain Gewurztraminer,1B026S 1
AOC,,AOC Alsace Grand Cru,,Muenchberg,,Riesling,AOC Alsace Grand Cru Muenchberg Riesling,1B028S 4
AOC,,AOC Alsace Grand Cru,,Muenchberg,,Pinot Gris,AOC Alsace Grand Cru Muenchberg Pinot Gris,1B028S 3
AOC,,AOC Alsace Grand Cru,,Muenchberg,,Muscat,AOC Alsace Grand Cru Muenchberg Muscat,1B028S 2
AOC,,AOC Alsace Grand Cru,,Muenchberg,,Gewurztraminer,AOC Alsace Grand Cru Muenchberg Gewurztraminer,1B028S 1
AOC,,AOC Alsace Grand Cru,,Osterberg,,Riesling,AOC Alsace Grand Cru Osterberg Riesling,1B030S 4
AOC,,AOC Alsace Grand Cru,,Osterberg,,Pinot Gris,AOC Alsace Grand Cru Osterberg Pinot Gris,1B030S 3
